incident_id,company_name,company_revenue_usd,country_hq,industry_primary,industry_secondary,employee_count,is_public_company,stock_ticker,incident_date,incident_date_estimated,discovery_date,disclosure_date,attack_vector_primary,attack_vector_secondary,attack_chain,attributed_group,attribution_confidence,data_compromised_records,data_type,systems_affected,downtime_hours,data_source_primary,data_source_secondary,data_source_type,confidence_tier,quality_score,quality_grade,review_flag,direct_loss_usd,direct_loss_method,ransom_demanded_usd,ransom_paid_usd,ransom_source,recovery_cost_usd,legal_fees_usd,regulatory_fine_usd,insurance_payout_usd,total_loss_usd,total_loss_method,total_loss_lower_bound,total_loss_upper_bound,inflation_adjusted_usd,cpi_index_used,price_7d_before,price_disclosure_day,price_1d_after,price_7d_after,price_30d_after,volume_avg_30d_baseline,volume_disclosure_day,sector_index,sector_return_same_period,abnormal_return_1d,abnormal_return_7d,abnormal_return_30d,car_neg1_to_pos1,car_0_to_7,car_0_to_30,car_0_to_90,t_statistic_1d,p_value_1d,t_statistic_30d,p_value_30d,earnings_announcement_within_7d,market_cap_at_disclosure,volume_ratio_disclosure,pre_incident_volatility_30d,post_incident_volatility_30d,days_to_price_recovery,industry_name
2021-0508-001,Quantum Asset Assurance Group Inc.,1343769307.79,US,52,54,3940,True,QAA,2021-05-08,False,2021-05-12,2021-06-20,ransomware,,Phishing email with weaponized attachment → credential theft via Mimikatz → lateral movement via RDP/SMB → Active Directory compromise → ransomware deployment across domain-joined hosts,NoName057,suspected,26888.0,mixed,"payment_systems,HR_systems",16.52,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001492738&type=8-K&dateb=20211220&owner=include&count=10,https://www.quantum-asset-assurance-g.com/newsroom/2021/05/security-update,sec_filing,1,97.89,Gold,,12600000.0,disclosed,13802654.69,,,9455354.49,2496545.93,90695.25,6756288.97,24642595.67,calculated,15348190.29,43746576.16,29237902.75,CPI-U 2021 (270.97),,,,,,,,,,,,,,,,,,,,,,,,,,,Finance & Insurance
2025-1211-001,Quantum Apex Ventures Ltd.,63670593.18,GB,51,,250,False,,2025-12-11,False,2026-02-13,2026-02-16,phishing,,,FIN11,probable,41426.0,mixed,"file_servers,backup_systems,HR_systems,ERP",,https://www.theregister.com/2025/06/14/quantum-apex-venture_security_incident/,https://blog.talosintelligence.com/2025/09/quantum-apex-venture-campaign.html,verified_media,3,86.74,Gold,,7640471.18,disclosed,,,,5857150.47,1809188.41,,2691027.33,15306810.06,disclosed,10206030.81,18906338.07,15306810.06,CPI-U 2025 (321.5),,,,,,,,,,,,,,,,,,,,,,,,,,,Information/Tech
2023-0115-001,BitWire Innovations Corp.,24806189094.88,US,51,,71369,True,BITW,2023-01-15,False,2023-07-18,2023-09-03,trojan,ddos,Drive-by download from compromised ad network → remote access trojan deployment → keylogger activation → credential theft → lateral movement to file servers,,,,,HR_systems,,https://therecord.media/2023/12/10/bitwire-innovations-corp-breached,https://blog.talosintelligence.com/2023/08/bitwire-innovations--campaign.html,verified_media,4,83.74,Silver,,34881599.59,calculated,,,,26404111.95,10330703.43,,31759649.99,71616414.97,disclosed,60854299.98,105151963.28,75564575.92,CPI-U 2023 (304.702),262.07,251.95,245.11,250.34,246.87,19782288.0,48767234.0,S&P 500 Information Technology,0.018777,-0.027129,-0.00638,-0.020181,-0.030706,-0.00638,-0.020181,0.001584,-1.9908,1.0,-1.0058,1.0,True,118198823773.06,2.4652,0.027705,0.052161,255.0,Information/Tech
2021-0315-001,Sterling Forge Markets Holdings Inc.,139825903.53,US,44-45,,912,True,SFM,2021-03-15,False,2021-04-03,2021-07-03,phishing,,Spear-phishing campaign targeting finance team → credential harvesting through cloned SSO portal → email account compromise → BEC wire transfer or data exfiltration,,,1107796.0,mixed,"HR_systems,CRM,VPN",,https://www.sterling-forge-markets-ho.com/newsroom/2021/10/security-update,https://www.mandiant.com/resources/blog/sterling-forge-marke-incident-response-2021,company_pr,2,94.51,Gold,,4682151.47,disclosed,,,,3642946.48,1029035.85,,1772460.33,9354133.8,disclosed,7648967.81,14525208.78,11098475.91,CPI-U 2021 (270.97),9.37,9.09,8.73,8.78,8.67,458826.0,1421143.0,S&P 500 Consumer Discretionary,0.002086,-0.03953,-0.033979,-0.045737,-0.04001,-0.033979,-0.045737,-0.007916,-5.5269,0.0002,-2.0352,0.9824,False,648911379.54,3.0973,0.017116,0.027638,324.0,Retail Trade
2021-1204-001,Sierra Quantum Innovations Group Inc.,691697737.03,US,51,,1662,True,SQI,2021-12-04,False,2021-12-11,2022-01-20,data_breach,,,,,621233.0,mixed,"SCADA,VPN",,https://www.sierra-quantum-innovation.com/newsroom/2021/10/security-update,,company_pr,2,79.82,Silver,,2684607.92,estimated,,,,2574871.33,206822.23,,,5466301.48,estimated,3519806.28,6755823.15,6485647.58,CPI-U 2021 (270.97),14.6,13.36,13.09,13.28,13.17,230932.0,354433.0,S&P 500 Information Technology,-0.014242,-0.020519,-0.005761,-0.01427,-0.02192,-0.005761,-0.01427,-0.001911,-1.7253,1.0,-1.3419,1.0,False,4735163815.54,1.5348,0.038209,0.045756,19.0,Information/Tech
2025-0617-001,Novak Systems Group Inc.,23049204977.6,US,31-33,,69223,False,,2025-06-17,False,2025-09-16,2025-10-26,data_breach,,Misconfigured cloud storage bucket discovered by automated scanner → bulk data download over 72 hours → data posted to dark web marketplace,Cl0p,confirmed,207262.0,PII,"cloud_infrastructure,file_servers,HR_systems,CRM",,https://www.crowdstrike.com/blog/novak-systems-group--intrusion-analysis-2025/,,cybersecurity_firm,3,82.42,Silver,,3735953.8,disclosed,,,,2340266.6,1286207.88,,,7362428.28,disclosed,5604329.75,8756559.72,7362428.28,CPI-U 2025 (321.5),,,,,,,,,,,,,,,,,,,,,,,,,,,Manufacturing
2025-0821-001,Beacon Lumen Industries Holdings Inc.,271568021.35,US,31-33,,2121,True,BLI,2025-08-21,False,2025-08-23,2025-10-01,apt,supply_chain,Zero-day exploit in edge device → fileless implant in memory → scheduled task persistence → low-and-slow data staging → encrypted exfiltration over DNS tunneling,FIN11,probable,58001.0,health,"file_servers,VPN",129.37,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001693169&type=8-K&dateb=20250304&owner=include&count=10,,sec_filing,1,90.37,Gold,,1700929.83,disclosed,,,,607575.94,313791.9,,,2622297.67,estimated,1869701.79,3393272.44,2622297.67,CPI-U 2025 (321.5),,,,,,,,,,,,,,,,,,,,,,,,,,,Manufacturing
2024-0603-001,Anderson Securities Inc.,4681402229.24,US,52,,16493,False,,2024-06-03,False,2024-06-17,2024-06-27,ddos,,Multi-vector botnet activation → volumetric UDP reflection (900 Gbps peak) → application-layer HTTP/2 flood → 18-hour service degradation,,,,,file_servers,15.91,https://unit42.paloaltonetworks.com/threat-brief-anderson-securities--2024/,https://www.anderson-securities-inc.com/newsroom/2024/08/security-update,cybersecurity_firm,3,95.53,Gold,,1200000.0,disclosed,,,,726046.15,223259.61,,781019.03,2149305.76,disclosed,1646963.5,2994618.4,2195817.48,CPI-U 2024 (314.69),,,,,,,,,,,,,,,,,,,,,,,,,,,Finance & Insurance
2021-0213-001,Stuttgart Distribution SE,733412842.38,DE,44-45,,8169,True,STUT.DE,2021-02-13,True,2021-02-14,2021-04-05,data_breach,,Misconfigured cloud storage bucket discovered by automated scanner → bulk data download over 72 hours → data posted to dark web marketplace,,,321215.0,credentials,payment_systems,,https://www.crowdstrike.com/blog/stuttgart-distributi-intrusion-analysis-2021/,https://www.bleepingcomputer.com/news/security/stuttgart-distribution-se-hit-by-cyberattack-2021/,cybersecurity_firm,3,71.71,Silver,,4864706.42,estimated,,,,1593635.93,1332119.72,,2496437.92,7790462.07,calculated,5394998.39,12613049.29,9243213.48,CPI-U 2021 (270.97),5.34,5.43,5.27,5.36,5.37,2521343.0,6491913.0,S&P 500 Consumer Discretionary,-0.006342,-0.029562,-0.012044,-0.010566,-0.027836,-0.012044,-0.010566,-0.008723,-1.6203,1.0,-0.5624,1.0,False,2984412393.86,2.5748,0.02798,0.030972,24.0,Retail Trade
2025-0529-001,BazaarBrand Stores Co.,39914029678.95,US,44-45,,776266,True,BAZA,2025-05-29,True,2025-06-05,2025-06-25,ransomware,,,Killnet,suspected,30907.0,financial,"email,cloud_infrastructure,ERP,file_servers",91.85,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001180222&type=8-K&dateb=20250111&owner=include&count=10,,sec_filing,1,82.4,Silver,,34926502.77,estimated,816664.33,252583.06,insurance claim record,30382641.61,7305976.36,2181266.22,,75048970.02,disclosed,57139339.65,93510896.07,75048970.02,CPI-U 2025 (321.5),465.19,441.08,410.45,428.36,429.49,1235984.0,3250371.0,S&P 500 Consumer Discretionary,-0.017191,-0.069433,-0.028831,-0.02627,-0.057521,-0.028831,-0.02627,-0.040106,-3.2345,0.38275,-3.2225,0.38875,False,219429554460.57,2.6298,0.025212,0.038232,313.0,Retail Trade
